Metadata creation date: 31st Oct 2017,,
Metadata original file:  raw_house_completions.csv,,
Metadata original data source: https://data.gov.ie/,,
county,year,number
Westmeath,1989,166
Wexford,1989,191
Wicklow,1989,394
Carlow,1990,123
Cavan,1990,88
Clare,1990,299
Cork,1990,1281
Donegal,1990,142
Dublin,1990,4616
Galway,1990,630
Kerry,1990,295
Kildare,1990,770
Kilkenny,1990,230
Laois,1990,98
Leitrim,1990,19
Limerick,1990,577
Longford,1990,34
Louth,1990,196
Mayo,1990,141
Meath,1990,297
Monaghan,1990,67
Offaly,1990,110
Roscommon,1990,43
Sligo,1990,92
Tipperary,1990,203
Waterford,1990,389
Westmeath,1990,150
Wexford,1990,159
Wicklow,1990,297
Carlow,1991,109
Cavan,1991,82
Clare,1991,318
Cork,1991,1107
Donegal,1991,152
Dublin,1991,4684
Galway,1991,618
Kerry,1991,220
Kildare,1991,744
Kilkenny,1991,255
Laois,1991,77
Leitrim,1991,17
Limerick,1991,520
Longford,1991,25
Louth,1991,215
Mayo,1991,159
Meath,1991,249
Monaghan,1991,40
Offaly,1991,78
Roscommon,1991,33
Sligo,1991,95
Tipperary,1991,166
Waterford,1991,235
Westmeath,1991,152
Wexford,1991,190
Wicklow,1991,118
Carlow,1992,123
Cavan,1992,80
Clare,1992,361
Cork,1992,1303
Donegal,1992,156
Dublin,1992,5864
Galway,1992,615
Kerry,1992,346
Kildare,1992,932
Kilkenny,1992,174
Laois,1992,81
Leitrim,1992,12
Limerick,1992,496
Longford,1992,16
Louth,1992,190
Mayo,1992,215
Meath,1992,256
Monaghan,1992,47
Offaly,1992,84
Roscommon,1992,44
Sligo,1992,113
Tipperary,1992,169
Waterford,1992,368
Westmeath,1992,133
Wexford,1992,255
Wicklow,1992,315
Carlow,1993,127
Cavan,1993,63
Clare,1993,240
Cork,1993,1443
Donegal,1993,232
Dublin,1993,6145
Galway,1993,487
Kerry,1993,403
Kildare,1993,853
Kilkenny,1993,189
Laois,1993,150
Leitrim,1993,16
Limerick,1993,693
Longford,1993,33
Louth,1993,350
Mayo,1993,188
Meath,1993,383
Monaghan,1993,53
Offaly,1993,62
Roscommon,1993,92
Sligo,1993,134
Tipperary,1993,241
Waterford,1993,341
Westmeath,1993,168
Wexford,1993,210
Wicklow,1993,370
Carlow,1994,110
Cavan,1994,106
Clare,1994,366
Cork,1994,1966
Donegal,1994,241
Dublin,1994,7830
Galway,1994,623
Kerry,1994,361
Kildare,1994,1385
Kilkenny,1994,219
Laois,1994,168
Leitrim,1994,5
Limerick,1994,832
Longford,1994,14
Louth,1994,527
Mayo,1994,397
Meath,1994,536
Monaghan,1994,50
Offaly,1994,171
Roscommon,1994,54
Sligo,1994,245
Tipperary,1994,306
Waterford,1994,560
Westmeath,1994,154
Wexford,1994,267
Wicklow,1994,329
Carlow,1995,169
Cavan,1995,76
Clare,1995,455
Cork,1995,1895
Donegal,1995,344
Dublin,1995,8107
Galway,1995,929
Kerry,1995,411
Kildare,1995,1300
Kilkenny,1995,304
Laois,1995,252
Leitrim,1995,12
Limerick,1995,767
Longford,1995,12
Louth,1995,586
Mayo,1995,363
Meath,1995,761
Monaghan,1995,80
Offaly,1995,116
Roscommon,1995,58
Sligo,1995,235
Tipperary,1995,458
Waterford,1995,589
Westmeath,1995,328
Wexford,1995,433
Wicklow,1995,687
Carlow,1996,325
Cavan,1996,183
Clare,1996,722
Cork,1996,2712
Donegal,1996,389
Dublin,1996,8591
Galway,1996,1444
Kerry,1996,575
Kildare,1996,1510
Kilkenny,1996,387
Laois,1996,193
Leitrim,1996,30
Limerick,1996,1236
Longford,1996,8
Louth,1996,721
Mayo,1996,448
Meath,1996,872
Monaghan,1996,92
Offaly,1996,167
Roscommon,1996,100
Sligo,1996,268
Tipperary,1996,480
Waterford,1996,717
Westmeath,1996,389
Wexford,1996,532
Wicklow,1996,678
Carlow,1997,508
Cavan,1997,152
Clare,1997,831
Cork,1997,3037
Donegal,1997,425
Dublin,1997,8040
Galway,1997,1281
Kerry,1997,837
Kildare,1997,2052
Kilkenny,1997,450
Laois,1997,233
Leitrim,1997,38
Limerick,1997,1543
Longford,1997,33
Louth,1997,841
Mayo,1997,576
Meath,1997,1283
Monaghan,1997,52
Offaly,1997,132
Roscommon,1997,86
Sligo,1997,547
Tipperary,1997,664
Waterford,1997,840
Westmeath,1997,584
Wexford,1997,916
Wicklow,1997,1099
Carlow,1998,495
Cavan,1998,176
Clare,1998,801
Cork,1998,3266
Donegal,1998,736
Dublin,1998,8356
Galway,1998,1381
Kerry,1998,684
Kildare,1998,2361
Kilkenny,1998,511
Laois,1998,293
Leitrim,1998,35
Limerick,1998,1439
Longford,1998,31
Louth,1998,1087
Mayo,1998,763
Meath,1998,1139
Monaghan,1998,111
Offaly,1998,289
Roscommon,1998,152
Sligo,1998,472
Tipperary,1998,730
Waterford,1998,893
Westmeath,1998,725
Wexford,1998,1357
Wicklow,1998,784
Carlow,1999,529
Cavan,1999,229
Clare,1999,1158
Cork,1999,4174
Donegal,1999,1020
Dublin,1999,8956
Galway,1999,1721
Kerry,1999,727
Kildare,1999,1972
Kilkenny,1999,512
Laois,1999,597
Leitrim,1999,220
Limerick,1999,1543
Longford,1999,42
Louth,1999,1020
Mayo,1999,830
Meath,1999,2350
Monaghan,1999,47
Offaly,1999,431
Roscommon,1999,183
Sligo,1999,391
Tipperary,1999,1024
Waterford,1999,919
Westmeath,1999,928
Wexford,1999,1640
Wicklow,1999,689
